Draw Date,Regular Numbers,,,,,,
2nd February 2018,3,8,9,24,28,31,44
26th January 2018,7,8,13,19,23,32,40
19th January 2018,9,18,25,30,39,40,43
12th January 2018,1,8,16,19,26,34,41
5th January 2018,1,3,13,15,28,36,49
29th December 2017,22,23,26,35,37,39,47
22nd December 2017,13,16,19,21,24,26,30
15th December 2017,8,14,17,27,28,30,48
8th December 2017,1,17,31,33,39,46,49
1st December 2017,26,28,33,38,42,43,47
24th November 2017,5,11,20,22,35,38,46
17th November 2017,3,15,22,23,33,47,49
10th November 2017,5,12,18,26,29,31,37
3rd November 2017,16,17,18,20,40,42,43
27th October 2017,1,14,15,16,24,39,49
20th October 2017,1,4,12,27,35,38,46
13th October 2017,8,14,16,17,18,34,41
6th October 2017,10,17,25,27,29,34,38
29th September 2017,1,6,14,23,38,40,47
22nd September 2017,2,10,37,38,39,43,47
15th September 2017,15,20,24,30,39,44,46
8th September 2017,1,2,15,16,22,29,41
1st September 2017,1,7,18,28,31,39,48
25th August 2017,18,19,23,34,39,43,46
18th August 2017,2,9,13,16,25,26,45
11th August 2017,13,14,19,26,27,36,37
4th August 2017,1,4,11,17,27,36,37
28th July 2017,9,12,16,24,33,45,47
21st July 2017,2,11,12,25,33,39,44
14th July 2017,2,4,11,17,26,41,42
7th July 2017,4,8,13,16,26,33,38
30th June 2017,7,24,26,36,37,43,44
23rd June 2017,2,3,6,22,24,42,46
16th June 2017,1,5,20,33,34,41,42
9th June 2017,7,11,20,21,22,37,47
2nd June 2017,11,12,25,28,33,41,43
26th May 2017,14,16,18,21,38,44,49
19th May 2017,8,11,18,25,34,35,38
12th May 2017,11,25,26,28,38,44,45
5th May 2017,11,14,20,22,26,35,43
28th April 2017,10,14,22,36,38,44,45
21st April 2017,3,4,13,16,35,47,49
14th April 2017,23,25,29,30,42,44,45
7th April 2017,8,12,14,34,37,44,48
31st March 2017,1,2,12,15,22,25,41
24th March 2017,16,19,21,32,37,39,45
17th March 2017,2,5,6,7,8,33,45
10th March 2017,1,11,15,20,36,41,47
3rd March 2017,3,7,20,25,29,31,44
24th February 2017,1,17,19,23,28,29,47
17th February 2017,5,9,14,24,33,37,46
10th February 2017,11,16,19,22,24,38,41
3rd February 2017,8,19,24,28,34,42,48
27th January 2017,1,3,8,22,29,38,47
20th January 2017,4,10,21,28,29,37,45
13th January 2017,2,8,24,30,31,38,40
6th January 2017,10,13,18,19,38,47,48
30th December 2016,5,10,14,19,31,33,47
23rd December 2016,1,5,11,26,28,30,41
16th December 2016,2,9,27,32,38,39,43
9th December 2016,11,17,24,26,34,35,39
2nd December 2016,5,8,20,21,29,40,47
25th November 2016,2,11,20,22,31,35,47
18th November 2016,7,10,21,24,38,40,49
11th November 2016,8,14,18,20,24,39,46
4th November 2016,4,23,29,36,39,44,46
28th October 2016,3,5,19,29,33,34,44
21st October 2016,33,34,36,42,44,45,47
14th October 2016,14,18,22,25,36,39,44
7th October 2016,8,9,12,24,29,36,37
30th September 2016,4,12,17,21,32,38,42
23rd September 2016,3,13,24,36,39,44,45
16th September 2016,7,12,14,15,27,34,44
9th September 2016,4,10,11,27,29,32,41
2nd September 2016,1,12,15,22,25,45,48
26th August 2016,3,10,17,19,26,27,42
19th August 2016,19,22,25,32,37,45,47
12th August 2016,5,7,15,18,19,27,28
5th August 2016,4,6,10,20,40,46,47
29th July 2016,11,15,25,26,39,47,49
22nd July 2016,9,26,28,32,37,40,45
15th July 2016,19,30,31,36,40,44,49
8th July 2016,1,8,16,25,30,42,48
1st July 2016,10,12,14,28,36,39,45
24th June 2016,2,17,22,24,26,42,48
17th June 2016,1,16,20,29,33,44,46
10th June 2016,5,11,15,26,27,33,39
3rd June 2016,12,21,28,37,40,43,47
27th May 2016,1,14,16,20,26,32,34
20th May 2016,16,17,19,22,31,47,49
13th May 2016,3,6,8,17,21,28,34
6th May 2016,1,8,10,24,26,37,45
29th April 2016,11,21,22,24,26,36,43
22nd April 2016,13,16,20,35,37,43,49
15th April 2016,1,9,17,19,25,27,38
8th April 2016,9,12,13,14,28,39,41
1st April 2016,5,6,27,28,31,41,45
25th March 2016,1,6,15,32,42,45,46
18th March 2016,6,8,15,24,26,39,44
11th March 2016,9,17,27,30,31,34,42
4th March 2016,4,14,24,41,42,44,48
26th February 2016,6,9,22,23,36,38,47
19th February 2016,2,11,20,22,33,40,43
